game_id,team_id,season,week,team,date,time,score,outcome,rotation,opening_moneyline,opening_spread,opening_spread_odds,opening_total,opening_total_odds,moneyline_bet_pct,moneyline_dollar_pct,spread_bet_pct,spread_dollar_pct,total_bet_pct,total_dollar_pct,8_moneyline,8_spread,8_spread_odds,8_total,8_total_odds,9_moneyline,9_spread,9_spread_odds,9_total,9_total_odds,20_moneyline,20_spread,20_spread_odds,20_total,20_total_odds,28_moneyline,28_spread,28_spread_odds,28_total,28_total_odds,29_moneyline,29_spread,29_spread_odds,29_total,29_total_odds,36_moneyline,36_spread,36_spread_odds,36_total,36_total_odds,44_moneyline,44_spread,44_spread_odds,44_total,44_total_odds,54_moneyline,54_spread,54_spread_odds,54_total,54_total_odds,82_moneyline,82_spread,82_spread_odds,82_total,82_total_odds,84_moneyline,84_spread,84_spread_odds,84_total,84_total_odds,123_moneyline,123_spread,123_spread_odds,123_total,123_total_odds
4407358,1550,2021,10,L.A. Rams,Mon 11/15,8:15 PM,10,FINAL,265,-199.0,-3.0,-110.0,47.0,-115.0,27.33,2260.0,33.33,20.0,0.0,0.0,-182.0,-3.5,-110.0,50.0,-108.0,-210.0,-4.0,-105.0,50.0,-110.0,-180.0,-3.5,-103.0,50.0,-102.0,-179.0,-3.5,-107.0,50.0,-107.0,-180.0,-3.5,-105.0,50.0,-110.0,-180.0,-3.5,-105.0,50.5,-110.0,-190.0,-3.5,-108.0,50.0,-108.0,-183.0,-3.5,-108.0,50.0,-107.0,-200.0,-4.0,-110.0,50.0,-110.0,-180.0,-3.5,-108.0,50.0,-105.0,-180.0,-3.5,-105.0,50.0,-110.0
4407358,1547,2021,10,San Francisco,Mon 11/15,8:15 PM,31,FINAL,266,174.0,3.0,-110.0,47.0,-105.0,72.67,6010.0,66.67,40.0,100.0,0.0,162.0,3.5,-110.0,50.0,-112.0,175.0,4.0,-115.0,50.0,-110.0,161.0,3.5,-107.0,50.0,-109.0,159.0,3.5,-113.0,50.0,-113.0,160.0,3.5,-115.0,50.0,-110.0,160.0,3.5,-115.0,50.5,-110.0,165.0,3.5,-108.0,50.0,-108.0,158.0,3.5,-112.0,50.0,-113.0,170.0,4.0,-110.0,50.0,-110.0,160.0,3.5,-112.0,50.0,-115.0,158.0,3.5,-115.0,50.0,-110.0
4407346,1544,2021,10,Tampa Bay,Sun 11/14,1:00 PM,19,FINAL,251,-450.0,-7.5,-110.0,51.0,-110.0,20.0,10.0,0.0,0.0,50.0,0.0,-455.0,-10.0,-105.0,50.5,-110.0,-470.0,-10.0,-105.0,50.5,-110.0,-406.0,-10.0,104.0,50.5,-110.0,-405.0,-10.0,-101.0,51.0,-114.0,-450.0,-10.0,100.0,50.5,-110.0,-450.0,-10.0,-105.0,50.5,-110.0,-465.0,-9.5,-108.0,51.0,-108.0,-461.0,-9.5,-112.0,50.5,-114.0,-490.0,-10.0,100.0,51.0,-115.0,-397.0,-10.0,101.0,50.5,-110.0,-480.0,-10.0,-105.0,50.5,-110.0
4407346,1537,2021,10,Washington,Sun 11/14,1:00 PM,29,FINAL,252,360.0,7.5,-110.0,51.0,-110.0,80.0,40.0,100.0,60.0,50.0,0.0,365.0,10.0,-115.0,50.5,-110.0,345.0,10.0,-115.0,50.5,-110.0,338.0,10.0,-115.0,50.5,-101.0,330.0,10.0,-119.0,51.0,-106.0,350.0,10.0,-120.0,50.5,-110.0,370.0,10.0,-115.0,50.5,-110.0,365.0,9.5,-108.0,51.0,-108.0,361.0,9.5,-108.0,50.5,-106.0,380.0,10.0,-120.0,51.0,-105.0,327.0,10.0,-121.0,50.5,-110.0,390.0,10.0,-115.0,50.5,-110.0
4407348,1539,2021,10,Detroit,Sun 11/14,1:00 PM,16,FINAL OT,253,320.0,9.5,-110.0,44.0,-110.0,50.0,10.0,75.0,30.0,0.0,0.0,210.0,5.5,-106.0,40.5,-110.0,210.0,6.0,-110.0,40.5,-110.0,220.0,6.0,-100.0,40.5,-107.0,215.0,6.0,-105.0,40.5,-111.0,200.0,5.5,-105.0,40.5,-110.0,210.0,6.0,-110.0,40.5,-110.0,205.0,6.0,-108.0,40.5,-108.0,200.0,5.5,-108.0,40.5,-107.0,200.0,6.0,-110.0,41.0,-110.0,214.0,6.0,-106.0,40.5,-115.0,205.0,6.0,-115.0,40.5,-110.0
4407348,1519,2021,10,Pittsburgh,Sun 11/14,1:00 PM,16,FINAL OT,254,-400.0,-9.5,-110.0,44.0,-110.0,50.0,10.0,25.0,10.0,100.0,0.0,-250.0,-5.5,-114.0,40.5,-110.0,-250.0,-6.0,-110.0,40.5,-110.0,-251.0,-6.0,-110.0,40.5,-104.0,-255.0,-6.0,-115.0,40.5,-109.0,-240.0,-5.5,-115.0,40.5,-110.0,-250.0,-6.0,-110.0,40.5,-110.0,-245.0,-6.0,-108.0,40.5,-108.0,-240.0,-5.5,-112.0,40.5,-113.0,-250.0,-6.0,-110.0,41.0,-110.0,-254.0,-6.0,-114.0,40.5,-105.0,-240.0,-6.0,-105.0,40.5,-110.0
4407349,1543,2021,10,New Orleans,Sun 11/14,1:00 PM,21,FINAL,249,140.0,2.5,-110.0,44.5,-110.0,72.73,80.0,46.15,60.0,50.0,0.0,130.0,3.0,-120.0,42.5,-110.0,135.0,3.0,-115.0,43.0,-105.0,134.0,3.0,-110.0,43.0,101.0,127.0,3.0,-119.0,43.0,-104.0,135.0,3.0,-115.0,42.5,-110.0,130.0,3.0,-120.0,43.0,-110.0,130.0,3.0,-113.0,42.5,-108.0,127.0,3.0,-118.0,42.5,-109.0,140.0,3.0,-105.0,42.5,-105.0,128.0,3.0,-119.0,43.0,-110.0,135.0,3.0,-115.0,42.5,-110.0
4407349,1528,2021,10,Tennessee,Sun 11/14,1:00 PM,23,FINAL,250,-160.0,-2.5,-110.0,44.5,-110.0,27.27,30.0,53.85,70.0,50.0,0.0,-150.0,-3.0,100.0,42.5,-110.0,-160.0,-3.0,-105.0,43.0,-115.0,-149.0,-3.0,100.0,43.0,-112.0,-147.0,-3.0,-101.0,43.0,-116.0,-155.0,-3.0,-105.0,42.5,-110.0,-150.0,-3.0,100.0,43.0,-110.0,-150.0,-3.0,-103.0,42.5,-108.0,-147.0,-3.0,-102.0,42.5,-111.0,-160.0,-3.0,-115.0,42.5,-115.0,-148.0,-3.0,-101.0,43.0,-110.0,-155.0,-3.0,-105.0,42.5,-110.0
4407350,1546,2021,10,Atlanta,Sun 11/14,1:00 PM,3,FINAL,245,335.0,9.5,-110.0,51.5,-115.0,33.33,10.0,50.0,20.0,66.67,0.0,280.0,7.5,-107.0,55.5,-110.0,285.0,7.5,-110.0,55.5,-115.0,287.0,8.0,-109.0,55.0,-114.0,282.0,8.0,-114.0,55.0,-118.0,275.0,7.5,-110.0,55.0,-115.0,330.0,8.0,-110.0,55.0,-120.0,295.0,7.5,-108.0,55.5,-108.0,283.0,7.5,-111.0,55.5,-106.0,290.0,8.0,-115.0,55.5,-105.0,282.0,8.0,-114.0,55.0,-118.0,270.0,7.0,105.0,55.5,-110.0
4407350,1538,2021,10,Dallas,Sun 11/14,1:00 PM,43,FINAL,246,-415.0,-9.5,-110.0,51.5,-105.0,66.67,20.0,50.0,20.0,33.33,0.0,-350.0,-7.5,-113.0,55.5,-110.0,-370.0,-7.5,-110.0,55.5,-105.0,-337.0,-8.0,-101.0,55.0,102.0,-342.0,-8.0,-106.0,55.0,-102.0,-340.0,-7.5,-110.0,55.0,-105.0,-410.0,-8.0,-110.0,55.0,100.0,-365.0,-7.5,-108.0,55.5,-108.0,-353.0,-7.5,-109.0,55.5,-114.0,-360.0,-8.0,-105.0,55.5,-115.0,-342.0,-8.0,-106.0,55.0,-102.0,-315.0,-7.0,-125.0,55.5,-110.0
