eid,partid,rotation,season,week,date,time,team,score,outcome,ml_perc,ml_wag,spr_perc,spr_wag,ou_perc,ou_wag,op_ml,op_spr,op_spr_odds,op_ou,op_ou_odds,8_ml,8_spr,8_spr_odds,8_ou,8_ou_odds,9_ml,9_spr,9_spr_odds,9_ou,9_ou_odds,10_ml,10_spr,10_spr_odds,10_ou,10_ou_odds,16_ml,16_spr,16_spr_odds,16_ou,16_ou_odds,28_ml,28_spr,28_spr_odds,28_ou,28_ou_odds,29_ml,29_spr,29_spr_odds,29_ou,29_ou_odds,36_ml,36_spr,36_spr_odds,36_ou,36_ou_odds,44_ml,44_spr,44_spr_odds,44_ou,44_ou_odds,82_ml,82_spr,82_spr_odds,82_ou,82_ou_odds,84_ml,84_spr,84_spr_odds,84_ou,84_ou_odds,123_ml,123_spr,123_spr_odds,123_ou,123_ou_odds,127_ml,127_spr,127_spr_odds,127_ou,127_ou_odds,130_ml,130_spr,130_spr_odds,130_ou,130_ou_odds
4765750,1531,485,2025,5,Mon 10/6,8:15 PM,Kansas City,28,FINAL,24.95,1240.0,32.63,3860.0,64.71,0.0,-150.0,-3.5,-110.0,44.5,-110.0,-190.0,-3.5,100.0,45.5,-115.0,-195.0,-3.5,-105.0,45.5,-110.0,-189.0,-3.5,103.0,45.5,-111.0,-191.0,-3.5,103.0,45.5,-111.0,-178.0,-3.5,-101.0,46.0,-110.0,-190.0,-3.5,100.0,45.5,-115.0,-188.0,3.5,-300.0,46.5,-110.0,-185.0,-3.5,102.0,45.5,-108.0,-206.0,-3.5,-105.0,45.5,-110.0,-178.0,-3.5,100.0,46.0,-110.0,-190.0,-3.5,-103.0,45.5,-115.0,-185.0,-3.0,-120.0,46.0,-110.0,-185.0,-3.5,100.0,45.5,-103.0
4765750,1529,486,2025,5,,,Jacksonville,31,,75.05,3730.0,67.37,7970.0,35.29,0.0,130.0,3.5,-110.0,44.5,-110.0,165.0,3.5,-120.0,45.5,-105.0,165.0,3.5,-115.0,45.5,-110.0,163.0,3.5,-121.0,45.5,-106.0,164.0,3.5,-121.0,45.5,-106.0,158.0,3.5,-119.0,46.0,-110.0,165.0,3.5,-120.0,45.5,-105.0,150.0,3.5,-125.0,46.5,-125.0,160.0,3.5,-118.0,45.5,-108.0,165.0,3.5,-115.0,45.5,-110.0,158.0,3.5,-120.0,46.0,-110.0,165.0,3.5,-117.0,45.5,-105.0,159.0,3.0,100.0,46.0,-110.0,165.0,3.5,-110.0,45.5,-106.0
4765635,1541,461,2025,5,Sun 10/5,9:30 AM,Minnesota,21,FINAL,34.32,1160.0,39.36,3090.0,62.85,0.0,-200.0,-4.5,-110.0,39.0,-110.0,-191.0,-3.5,100.0,35.5,-110.0,-185.0,-3.5,-105.0,35.5,-110.0,-196.0,-3.0,-120.0,35.5,-106.0,-199.0,-3.0,-122.0,35.5,-106.0,-175.0,-3.5,105.0,35.5,-115.0,-180.0,-3.5,-105.0,35.5,-115.0,-250.0,3.5,-333.0,36.5,-110.0,-185.0,-3.5,102.0,35.5,-108.0,-197.0,-3.5,-105.0,35.5,-110.0,-175.0,-3.5,105.0,35.5,-115.0,-190.0,-3.5,100.0,35.5,-110.0,,,,,,-179.0,-3.5,103.0,36.0,-101.0
4765635,1520,462,2025,5,,,Cleveland,17,,65.68,2220.0,60.64,4760.0,37.15,0.0,174.0,4.5,-110.0,39.0,-110.0,166.0,3.5,-120.0,35.5,-110.0,160.0,3.5,-115.0,35.5,-110.0,169.0,3.0,100.0,35.5,-113.0,171.0,3.0,102.0,35.5,-113.0,155.0,3.5,-125.0,35.5,-105.0,160.0,3.5,-115.0,35.5,-105.0,190.0,3.5,-125.0,36.5,-125.0,160.0,3.5,-118.0,35.5,-108.0,159.0,3.5,-115.0,35.5,-110.0,155.0,3.5,-125.0,35.5,-105.0,165.0,3.5,-120.0,35.5,-110.0,,,,,,160.0,3.5,-114.0,36.0,-111.0
4765739,1538,465,2025,5,Sun 10/5,1:00 PM,Dallas,37,FINAL,32.24,1470.0,26.26,2560.0,73.37,0.0,-135.0,0.0,-116.0,46.5,-110.0,107.0,1.0,100.0,47.5,-110.0,105.0,2.0,-110.0,47.5,-110.0,120.0,2.0,-105.0,47.5,-101.0,117.0,2.0,-107.0,48.0,-104.0,104.0,2.0,-110.0,48.0,-109.0,105.0,1.0,-110.0,47.5,-110.0,-125.0,0.5,-110.0,48.5,-110.0,110.0,2.0,-108.0,47.5,-108.0,-121.0,-1.0,-105.0,48.0,-110.0,104.0,2.0,-110.0,48.0,-109.0,110.0,1.5,-110.0,48.0,-110.0,,,,,,117.0,1.0,108.0,47.0,-110.0
4765739,1523,466,2025,5,,,N.Y. Jets,22,,67.76,3090.0,73.74,7190.0,26.63,0.0,115.0,0.0,-104.0,46.5,-110.0,-127.0,-1.0,-120.0,47.5,-110.0,-125.0,-2.0,-110.0,47.5,-110.0,-138.0,-2.0,-114.0,47.5,-119.0,-135.0,-2.0,-112.0,48.0,-115.0,-124.0,-2.0,-110.0,48.0,-111.0,-125.0,-1.0,-110.0,47.5,-110.0,100.0,0.5,-125.0,48.5,-125.0,-130.0,-2.0,-108.0,47.5,-108.0,-101.0,1.0,-115.0,48.0,-110.0,-124.0,-2.0,-110.0,48.0,-111.0,-130.0,-1.5,-110.0,48.0,-110.0,,,,,,-129.0,-1.0,-119.0,47.0,-102.0
4765740,1534,469,2025,5,Sun 10/5,1:00 PM,Denver,21,FINAL,90.86,5370.0,64.94,7020.0,82.02,0.0,195.0,5.5,-110.0,43.5,-110.0,186.0,4.0,-110.0,44.0,-112.0,185.0,4.0,-110.0,44.0,-115.0,180.0,3.5,-107.0,44.0,-113.0,181.0,3.5,-107.0,44.0,-114.0,181.0,4.0,-118.0,44.0,-120.0,180.0,4.0,-110.0,44.0,-115.0,210.0,4.5,-125.0,43.5,-118.0,190.0,4.0,-113.0,44.0,-108.0,189.0,4.0,-110.0,44.0,-110.0,181.0,4.0,-118.0,44.0,-110.0,190.0,4.0,-110.0,44.0,-110.0,,,,,,186.0,4.0,-107.0,44.5,-102.0
4765740,1536,470,2025,5,,,Philadelphia,17,,9.14,540.0,35.06,3790.0,17.98,0.0,-235.0,-5.5,-110.0,43.5,-110.0,-220.0,-4.0,-110.0,44.0,-108.0,-225.0,-4.0,-110.0,44.0,-105.0,-210.0,-3.5,-112.0,44.0,-106.0,-211.0,-3.5,-112.0,44.0,-105.0,-205.0,-4.0,-102.0,44.0,-110.0,-220.0,-4.0,-110.0,44.0,-105.0,-275.0,4.5,-400.0,43.5,-118.0,-225.0,-4.0,-103.0,44.0,-108.0,-237.0,-4.0,-110.0,44.0,-110.0,-205.0,-4.0,-102.0,44.0,-110.0,-230.0,-4.0,-110.0,44.0,-110.0,,,,,,-210.0,-4.0,-103.0,44.5,-110.0
4765741,1530,473,2025,5,Sun 10/5,1:00 PM,Houston,44,FINAL,61.32,2140.0,66.49,5120.0,64.08,0.0,245.0,9.5,-110.0,46.0,-110.0,-140.0,-2.5,-110.0,41.5,-110.0,-135.0,-2.5,-105.0,42.0,100.0,-138.0,-2.5,-108.0,41.5,-109.0,-139.0,-2.5,-108.0,41.5,-109.0,-139.0,-2.5,-105.0,41.5,-109.0,-140.0,-2.5,-110.0,41.5,-110.0,-138.0,-2.5,-125.0,41.5,-110.0,-140.0,-2.5,-108.0,41.5,-108.0,-123.0,-1.5,-110.0,40.5,-110.0,-139.0,-2.5,-110.0,41.5,-109.0,-140.0,-2.5,-110.0,41.5,-110.0,,,,,,-139.0,-2.5,-104.0,41.0,-110.0
4765741,1521,474,2025,5,,,Baltimore,10,,38.68,1350.0,33.51,2580.0,35.92,0.0,-300.0,-9.5,-110.0,46.0,-110.0,120.0,2.5,-110.0,41.5,-110.0,115.0,2.5,-115.0,42.0,-120.0,120.0,2.5,-111.0,41.5,-110.0,120.0,2.5,-111.0,41.5,-110.0,119.0,2.5,-115.0,41.5,-111.0,120.0,2.5,-110.0,41.5,-110.0,110.0,2.5,-110.0,41.5,-125.0,120.0,2.5,-108.0,41.5,-108.0,101.0,1.5,-110.0,40.5,-110.0,119.0,2.5,-110.0,41.5,-111.0,120.0,2.5,-110.0,41.5,-110.0,,,,,,125.0,2.5,-106.0,41.0,-103.0
